Name,Email,Phone,City,State,Zip
"Somebunny Luvs Me",riversidebunnylady@gmail.com,951-888-0829,"Riverside",CA,92509
"Sonora Cat Rescue",jro@woodside-road.net,209-591-8086,"Sonora",CA,95370
"SoulPlayMates",connect@soulplaymates.org,(858) 859-1364,"Vista",CA,92083
"Sounds of Silent Spirits",komodo@sisp.net,(760) 248-6427,"Lucerne Valley",CA,92356
"South Bay Cats",tharrington@cox.net,310 548-8563,"San Pedro",CA,90734
"South Bay Dog Rescue",southbaydogrescue@gmail.com,(619) 748-1893,"San Ysidro",CA,92173
"South Bay Purebred Rescue",adoptarescuedog@aol.com,408-629-8293,"San Jose",CA,95158
"South Bay Rabbit Rescue",southbayrabbitrescue@gmail.com,(408) 422-2433,"Morgan Hill",CA,95038
"South County Tail Waggers",sctailwaggers@gmail.com,8554606127,"Gilroy",CA,95020
"South PAWS Pet Rescue, Inc.",southpawsgalt@gmail.com,,"Elk Grove",CA,95758
"Southern California Abyssinian Rescue (SCAR)",marla@socaabyrescue.com,310 948 2070,"Whittier",CA,90608
"Southern California Animal Rescue",socalanimalrescue@gmail.com,,"Costa Mesa",CA,92626
"Southern California Bulldog Rescue",gvande6576@aol.com,1-714-612-0265,"Santa Ana",CA,92706
"Southern California Cat Adoption Tails",catadoptiontails@aol.com,(818)943-1601,"Sylmar",CA,91392
"Southern California Dachshund Relief, Inc.",linla@comcast.net,,"San Jose",CA,95118
"Southern California Dachshund Rescue",dena@scdr.org,(562) 694-6868,"La Habra",CA,90631
"Southern California German Shepherd Rescue",marcy@socalrescue.org,619-228-3570,"San Diego",CA,92115
"Southern California Keeshond Rescue Inc.[SCKR]",adopt@foreverkees.org,(805) 527-4096,"San Pedro",CA,90731
"Southern California Pomeranian Rescue",socalpomrescue@coapc.com,www.southerncaliforniapomeranianrescue.org,"Irvine",CA,92604
"Southern California Shiba Inu Rescue Inc",shibainurescue@live.com,,"Encino",CA,91416
"Southern California Siamese Rescue",karensoca@siameserescue.org,818-830-3380,"Agoura Hills",CA,91301
"Southern Counties Rescue Inc.",phyllis891@att.net,(323) 394-0954,"Mission Viejo",CA,92692
"Southern Star Animal Rescue",southernstaranimalrescue@yahoo.com,951-642-2042,"Winchester",CA,92596
"Southland Collie Rescue",info.collie@gmail.com,310-366-5573,"Riverside",CA,92508
"SPARC - Santa Paula Animal Rescue Center",info@santapaulaarc.org,805-525-8609,"Santa Paula",CA,93060
"Sparky and the Gang",sparkyandthegang@yahoo.com,,"Long Beach",CA,90804
"SPCA of Mariposa County",mariposaspca@sti.net,209-966-5275,"Mariposa",CA,95345
"spcaLA - PetSmart Pico Rivera",info@spcala.com,(562) 566-4029 ext. 5,"Pico Rivera",CA,90660
"Special Pets Rescue",mushutoast@yahoo.com,707-350-7008,"Santa Rosa",CA,95402
"SPOT Saving Pets One at a Time",info@spotsavespets.org,760-593-7768,"San Luis Rey",CA,92068
"Spunky's Rescue Ranch",mdrickards@aol.com,(916) 704-6057,"Malibu",CA,90265
"St. Anthonys Canine Rescue & Corgi Matchmaker",corgially@att.net,,"Lomita",CA,90717
"St. Francis Animal Protection Society",info@stfrancisanimal.org,,"Campbell",CA,95009
"Stanislaus Animal Services Agency",champostmaster@stancounty.com,209 558 7387,"Modesto",CA,95354
"STAR - Support Team Animal Rescue",info@staranimalrescue.org,408-876-6221,"San Jose",CA,95123
"Star Paws Rescue",starpawsrescue@gmail.com,424-229-1614,"Marina Del Rey",CA,90291
"Starlight Stepping Stones",bondosue@aol.com,951-403-3473,"Norco",CA,92863
"START",liz@startrescue.org,626 331 5432,"Studio City",CA,91604
"Stockton Animal Shelter and the Animal Protection League",animalservices@stocktonca.gov,209-937-7445,"Stockton",CA,95206
"Stonecliffe Animal Rescue",stonecliffeadoption@gmail.com,,"Lemoore",CA,93245
"Stray Cat Alliance",adoptions@straycatalliance.org,(310) 281-6973,"Los Angeles",CA,90016
"Summer Rescue",summerrescue1@gmail.com,(562) 346-6290,"Long Beach",CA,90813
"Sunny Saints, Saint Bernard Dog Rescue",info@sunnysaints.org,858.222.4101,"Bellflower",CA,90707
"Sunshine Haven Wildlife Rescue",verville@hotmail.com,951-588-8811,"Riverside",CA,92503
"Surfcat Cafe & Adoptions",leslie@surfcatcafe.org,(805) 500-7125,"Oxnard",CA,93035
"Sutter Buttes Canine Rescue",sbk9rescue@earthlink.net,(530) 695-3814,"Gridley",CA,95948
"Sweet Home Rescue",sweethomerescue@gmail.com,Please email us!,"Irvine",CA,92606
"Sweet Pawz & Meows Rescue",sweetpawzandmeowsrescue@gmail.com,,"Pasadena",CA,91101
"Tail Waggin All Breed Rescue",guinnsbunnies@aol.com,(209) 505-0589,"Gustine",CA,95322
"Tailchaser Rescue",adopt@tcrescue.com,,"San Jose",CA,95124
"Tails and Scales Animal Rescue",adoption@tailsandscales.org,,"Santa Clarita",CA,91350
"Tails of Gray",info@tailsofgray.org,,"Clayton",CA,94517
"Tails of Hope Staffie Haven",info@staffiehaven.org,(661) 902-1710,"Lancaster",CA,93539
"Tails of the City Animal Rescue",tailsofthecityrescue@gmail.com,,"Los Angeles",CA,90069
"Take Me Home",tmhrescue@gmail.com,310-967-4637,"Santa Monica",CA,90405
"Tehama County Department of Animal Services",tehama_pets@hotmail.com,(530) 527-3439,"Red Bluff",CA,96080
"The Animal Pad",bk.theanimalpad@gmail.com,,"San Diego",CA,92103
"The Animal Protectorates (TAPS)",laurie.newton@tapsusa.org,(818) 934-4268,"Burbank",CA,91507
"The Ark of San Juan, Companion Animal Rescue",info@arkofsanjuan.org,(949) 388-0034,"San Juan Capistrano",CA,92675
"The Barking Lot Rescue",info@thebarkinglot.net,619-354-4825,"San Diego",CA,92117
"The Brittany Foundation",brittany_dogs@yahoo.com,661-713-5240,"Acton",CA,93510
"The Cat Adoption Service",thecatadoptionservice@yahoo.com,(714) 262-1234,"Buena Park",CA,90620
"The Cat Cause Foundation",info@catcause.com,,"Huntington Beach",CA,92646
"The Cat Cove",catcoverescue@gmail.com,,"Los Alamitos",CA,90720
"The Cat House on the Kings",petfinder@cathouseonthekings.com,559-638-8696,"Parlier",CA,93648
"The Cat People",courtneyc@thecatpeople.org,,"Bakersfield",CA,93308
"The Cat Posse",sebastian_sophie@yahoo.com,(626) 676-7648,"Pasadena",CA,91116
"The Cat's Meow Animal Rescue",info@thecatsmeowanimalrescue.org,,"Los Angeles",CA,90046
"The Catherine Fund",carlas_cats@yahoo.com,818-425-5786,"Burbank",CA,91510
"The Catnip Society",info@catnipsociety.org,(209) 742-1023,"Mariposa",CA,95338
"The Dawg Squad",dawgsquad@rocketmail.com,,"Los Angeles",CA,90064
"The Dexter Foundation",contactus@dexterfoundation.com,(310) 531-8944,"Redondo Beach",CA,90277
"The Dog Rescuers",thedogrescuers@gmail.com,,"Pasadena",CA,91104
"The Dog Spot Rescue, Rehabilitation & Rehoming Center",thedogspotrescue@aol.com,,"Vacaville",CA,95688
"The Fauna Foundation",kimcap@verizon.net,,"Malibu",CA,90265
"The Forgotten Dog Foundation",linzi@theforgottendog.org,310-990-2020,"Santa Monica",CA,90403
"The Fuzzy Pet Foundation",info@tfpf.org,213-545-1530,"Santa Monica",CA,90404
"The Jindo Project",afujikawa@gmail.com,888-343-4364,"Camarillo",CA,93011
"The Lily Sanctuary",adoptions@thelilysanctuary.org,714-442-9474,"Fountain Valley",CA,92728
"The Little Lion Foundation",thelittlelionfoundation@gmail.com,(562) 212-4411,"Long Beach",CA,90805
"The Little Red Dog",info@thelittlereddog.com,949-427-0925,"Lake Forest",CA,92630
"The Milo Foundation",mpr@milofoundation.org,(510) 900-2275,"Point Richmond",CA,94801
"The Musical Truckin Death Row Dogs Adoption Program . . . Angels Saving Animals",info@musicaltruckindogs.com,(909) 208-6889,"Corona",CA,92881
"The Mutt Scouts",themuttscouts@gmail.com,,"Los Angeles",CA,90026
"The Peaceful Kingdom Alliance 4 Animals",anniemals@thepeacefulkingdom.com,(661) 331-3273,"Bakersfield",CA,93380
"The Pepper Foundation",pepperfoundation@aol.com,,"Studio City",CA,91604
"The Perfect Dog",theperfectdogrescue@gmail.com,510-333-4420,"Fremont",CA,94538
"The Pet Adoption Center of Orange County",info@adoptocpets.org,(949) 858-1000,"Rancho Santa Margarita",CA,92688
"The Pet Food Bank",woof@thepetfoodbank.com,714-379-1456,"Seal Beach",CA,90740
"The Pet Rescue Center",adopt@thepetrescuecenter.org,877-277-7938,"Mission Viejo",CA,92691
"The Pet Rescue Center Inc.",petrescuecenter@gmail.com,760 398-7722,"Coachella",CA,92201
"The Power of Chi",info@powerofchi.org,,"Oakland",CA,94602
"The Rabbit Haven",ava_haven@comcast.net,831 600-7479,"Scotts Valley",CA,95067
"The Real Bark",therealbark@gmail.com,,"Los Angeles",CA,90026
"The Rescue Team, Inc.",info@rescueteamla.org,(310) 291-0426,"Sherman Oaks",CA,91403
"The Rescue Train",info@therescuetrain.org,,"Toluca Lake",CA,91602
"The Rescued Dog",info@therescueddog.org,(619) 356-3390,"San Diego",CA,92106
"The Robert T. Brentnall Pawsibilities Foundation",thertbpawsibilitiesfoundation@gmail.com,,"Santa Clarita",CA,91321
"The Sam Simon Foundation",info@samsimonfoundation.org,(310) 457-5898,"Malibu",CA,90265
"The SPCA for Monterey County",info@spcamc.org,831-373-2631,"Monterey",CA,93940
"The Veterinary Care Center",stephanie@veterinarycarecenter.com,(323) 919-6666,"Los Angeles",CA,90038
"The Zuri Pet Rescue",adoptions@thezuripetrescue.com,949-429-7223,"San Juan Capistrano",CA,92675
"Throw Me A Bone Dog Rescue",throwmeabonerescue@gmail.com,(925) 308-6221,"Brentwood",CA,94513
"Thulani Senior German Shepherd Rescue",info@thulaniseniorgsr.org,,"San Juan Bautista",CA,95045
"Tiramisu Dog Rescue",tiramisudogrescue@gmail.com,,"Davis",CA,95618
"TLC  (Tiny Loving Canines)",tlctinylovingcanines@aol.com,805-813-1589,"Simi Valley",CA,93065
"TLC with PUPS",beaglesrbest@yahoo.com,951-742-8689,"Colton",CA,92324
"TnT Small Animal Rescue",tina@tntrescue.org,(650)642-4006,"South San Francisco",CA,94083
"TOPCats on the Ridge Inc.",bukido@comcast.net,530-872-8112,"Paradise",CA,95967
"Town Cats",adoptions@towncats.org,(408) 779-5761,"Morgan Hill",CA,95038
"Toy Breed Rescue",toydogrsq@aol.com,(408) 379-5554,"San Jose",CA,95128
"Toy Fox Terrier Rescue, Inc.",tftrescue@yahoo.com,603-494-5447,"Tulare",CA,93274
"Treasured Tails Canine Rescue",treasuredtailsrescue@hotmail.com,951 852-7999,"Temecula",CA,92592
"Tri-City Animal Shelter",animalservices@fremont.gov,(510) 790-6640,"Fremont",CA,94538
"Tri-Valley Animal Rescue",webmaster@tvar.org,,"Pleasanton",CA,94588
"Tulare Animal Services",tulareanimalservice@ci.tulare.ca.us,559 685-5047,"Tulare",CA,93274
"Tulare County Animal Services",tcanimalshelter@tularehhsa.org,559-636-4050,"Visalia",CA,93292
"Tuolumne County Animal Shelter",mrsgonzalves@yahoo.com,209-694-2730,"Jamestown",CA,95327
"Two Hands Four Paws Foundation",sarah@twohandsfourpaws.com,(310) 475-8555,"Los Angeles",CA,90064
"Umbrella of Hope",beourpet@gmail.com,,"Pittsburg",CA,94565
"Underdog Animal Rescue",adopt@underdogca.com,,"Lafayette",CA,94549
"Underdog Rescue",underdogrescueca@gmail.com,(908) 907-2376,"Lake Forest",CA,92630
"Unidos para los Animales",upaadoption@gmail.com,,"Kensington",CA,94707
"United Hope for Animals",meena@hope4animals.org,706-504-1810,"Pasadena",CA,91102
"Used Pets",usedpets@sbcglobal.net,(310) 344-3869,"Century City",CA,90067
"Valley Animal Center",info@valleyanimal.org,(559) 233-8690,"Fresno",CA,93728
"Valley Animal Haven",valleyanimalhaven@gmail.com,559-997-3601,"Lemoore",CA,93245
"Valley Cats, Inc.",valleycatsinc@aol.com,(818) 883-5252,"West Hills",CA,91307
"Valley Oak SPCA",lydia.house@vospca.org,(559) 651-1111,"Visalia",CA,93277
"Valley SPCA",valleyspcastockton@gmail.com,209-430-3004,"Stockton",CA,95208
"Ventura County Animal Services",vcar.rescue@ventura.org,805.388.4341,"Camarillo",CA,93010
"Victor Valley Animal Protective League",victorvalleyapl@yahoo.com,(760) 247-2102,"Apple Valley",CA,92307
"Villalobos Rescue Center",adoption@vrcpitbull.com,504-948-4505,"Santa Clarita",CA,91390
"Voice For The Animals",adoption@vftafoundation.org,(310) 392-5153,"Santa Monica",CA,90405
"Voices Out",shani@voicesout.org,(818) 231-6605,"Encino",CA,91436
"Wagging Dog Rescue",adoptions@waggingdog.org,310-853-0757,"Carlsbad",CA,92013
"WAGS ~ Westminster Adoption Group and Services",cortney@wagspetadoption.org,(714) 887-6156,"Westminster",CA,92683
"Wags and Walks",info@wagsandwalks.org,Please email,"Los Angeles",CA,90025
"Wags and Whiskers Pet Rescue",stacy@wwprca.com,(530) 895-8888,"Chico",CA,95973
"Walk Me Home Rescue Group",walkmehomerescue@gmail.com,(626) 379-0420,"Monrovia",CA,91017
"Wasco Animal Shelter",spottedfurkids@gmail.com,(661) 758 7240,"Wasco",CA,93280
"Wee Companions Small Animal Adoption Inc",weecompanions@aol.com,619 934 6007,"Imperial Beach",CA,91932
"Welcome Home Dog Rescue",info@welcomehomedogrescue.org,,"La Mirada",CA,90638
"Welcome Home Small Animal Sanctuary",sandstar@wildblue.net,,"Lucerne Valley",CA,92356
"West Coast Boxer Rescue",pf@westcoastboxerrescue.org,510-255-1825,"Alameda",CA,94501
"West End Shelter for Animals",westendshelter@netzero.net,909-947-3517,"Ontario",CA,91761
"Westie Rescue Northern California",bgmordy@comcast.net,408 242-0990,"Santa Clara",CA,95050
"Westside Animals for Adoption",westsideanimalsforadoption@gmail.com,209 892 3114,"Patterson",CA,95363
"Whis-Purr Rescue, Inc.",info@whis-purr.org,877-307-2747 (msg),"Redwood City",CA,94062
"Whiskers & Tails Foundation",amano@whiskerstails.org,(310) 755-5796,"Rancho Palos Verdes",CA,90275
"Whiskers, Tails and Ferals",wtfnapa@gmail.com,(707) 258-2287,"Napa",CA,94558
"Wine Country Animal Lovers, Inc.",info@winecountryanimallovers.org,707-800-5058,"Calistoga",CA,94515
"WKODIT",wkodit@comcast.net,(650) 747-9650,"La Honda",CA,94020
"Wonder Cat Rescue",wondercatrescue@gmail.com,,"San Francisco",CA,94110
"Wonder Dog Rescue",wonderdogrescue@gmail.com,415.621.DOGS,"San Francisco",CA,94110
"Woods Humane Society",adoptions@woodshumanesociety.org,(805) 543-9316,"San Luis Obispo",CA,93405
"Woods Humane Society North County",infonorth@woodshumanesociety.org,(805) 466-5403,"Atascadero",CA,93422
"Woof Animal Rescue",contact.us@lovewoof.org,(510) 985-9924,"Fremont",CA,94536
"Woofie's Rescue",woofiesrescue@gmail.com,,"San Jose",CA,95128
"www.thedogshack.org",pets.katrina@gmail.com,415 457 4544,"forest knolls",CA,94933
"Yolo County Animal Services",ycasrescue@gmail.com,530-668-5287,"Woodland",CA,95776
"Yolo County SPCA",adopt@yolospca.org,,"Davis",CA,95617
"Yorkie Rescue of America",tiffini@yorkierescueofamerica.org,,"Los Angeles",CA,90035
"Yorkies & Friends Rescue",1yorkiesrescue@gmail.com,,"Orange",CA,92867
"Yorkshire Terrier National Rescue",ytnr@ytnr.com,,"Oakley",CA,94561
"Yucca Valley Animal Shelter",animalshelter@yucca-valley.org,760 365-3111,"Yucca Valley",CA,92284
"Zazzy Cats Kitty Rescue",roni@zazzycats.org,,"Long Beach",CA,90809
"Ziggy and Friends Cat Rescue",ziggysfriends@gmail.com,(714) 353-8441,"Los Angeles",CA,90066
"Zoe's Friends Animal Rescue",cindy@zoesrescue.org,805-907-0655,"Thousand Oaks",CA,91362
"2 Blondes All Breed Rescue",info@2babrescue.org,,"Littleton",CO,80126
"2nd Chance Vizsla Rescue, Inc.",spunki_61981@yahoo.com,970-568-9042,"Fort Collins",CO,80524
"4 Paws 4 Life Rescue",adopt@4p4l.org,,"Sedalia",CO,80135
"9 Lives Rescue Inc.",cats@colorado9lives.com,(719) 591-4640,"Colorado Springs",CO,80907
"All Aboard Animal Rescue",allaboardanimalrescue@gmail.com,(970) 286-9902,"Fort Collins",CO,80526
"All Breed Rescue & Training",info.abrt@gmail.com,719-264-6460,"Colorado Springs",CO,80907
"All Paws Matter Rescue",info@apmrescue.com,,"Englewood",CO,80110
"Almost Home Adoptions for rescued cats",almosthomeadoptions@yahoo.com,(303) 432-2299,"Westminster",CO,80031
"American Lhasa Apso Club Rescue - Colorado",apsorescue@aol.com,,"Loveland",CO,80539
"Angels With Paws Cat Adoption and Shelter",angelswithpaws@yahoo.com,303-274-2264,"Lakewood",CO,80215
"Animal House (Dog Rescue)",foster@animalhousehelp.org,(970) 224-3647,"Fort Collins",CO,80524
"Animal Rescue Connection Inc",info@animalrescueconnection.org,720-312-1949,"Longmont",CO,80502
"Animal Rescue of the Rockies",arrcolorado@gmail.com,(970) 389-8324,"Breckenridge",CO,80424
"Annie's Orphans",anniesk9orphans@yahoo.com,,"Durango",CO,81301
"Ark-Valley Humane Society",info.avhs@gmail.com,719-395-2737,"Buena Vista",CO,81211
"Aurora Animal Shelter",gsavanah@auroragov.org,303-326-8280,"Aurora",CO,80011
"Barnwater Cats Rescue Organization",barnwatercat@aol.com,(303) 759-2855,"Denver",CO,80210
"Big Bones Canine Rescue",bigbonesrescue@gmail.com,970-310-3616,"Windsor",CO,80550
"Big Dogs Huge Paws, inc",wecare@bigdogshugepaws.com,303-322-4336,"Aurora",CO,80046
"Black Canyon Animal Sanctuary",debbie@blackcanyonanimalsanctuary.com,(970) 399-7152,"Crawford",CO,81415
"Bounce Animal Rescue",contact@bounceanimalrescue.org,970.699.6772,"Fort Collins",CO,80527
"Breeder Release Adoption Service",connibouchard@gmail.com,719-845-0120,"Peyton",CO,80831
"Brighter Days Dog Rescue",brighterdaysdogrescue@gmail.com,,"Boulder",CO,80305
"Bruno the Companion All Animal Rescue",btcrescue@brunothecompanion.com,720-432-7381,"Littleton",CO,80123
"Buck'n-R-Ranch Animal Rescue, Inc.",info@brrari.org,303-660-5502,"Franktown",CO,80116
"Canine Candor Dog Rescue",caninecandor@gmail.com,,"Greeley",CO,80633
"Cat Care Society",shelterinfo@catcaresociety.org,303-239-9680,"Lakewood",CO,80214
"Cavy Care Inc.",shannon@cavycareinc.org,303-593-2195,"Aurora",CO,80015
"Chihuahua Small Dog Rescue Inc",info@chihuahua-smalldogrescue.org,,"Colorado Springs",CO,80911
"Circle 2 Rescue",circle2rescue@yahoo.com,(303) 999-9999,"Evergreen",CO,80439
"City of Montrose Animal Services",tvonseggern@ci.montrose.co.us,(970) 240-1487,"Montrose",CO,81401
"City of Yuma Animal Shelter",l.thompson@yumacolo.org,(970) 630-2106,"Yuma",CO,80759
"Colorado Animal Rescue",info@coloradoanimalrescue.org,(970) 947-9173,"Glenwood Springs",CO,81601
"Colorado Animal Welfare League",info@coloradoanimalwelfare.org,720-515-CAWL,"Castle Rock",CO,80104
"Colorado Beagle Rescue",darlene@coloradobeaglerescue.org,303-464-9403,"Littleton",CO,80161
"Colorado Canine Rescue",rescue@coloradocaninerescue.org,,"Englewood",CO,80113
"Colorado Peke and Pom Rescue Inc",pekeandpom@msn.com,303-681-2512 hotline,"Morrison",CO,80118
"Colorado Saint Bernard Rescue",cosaintrescue@gmail.com,720 981 1700,"Denver",CO,80227
"Couches For Afghans",couchesforafghans@yahoo.com,3034893124,"Bennett",CO,80102
"Craig Animal Shelter",bearcreekanimalhospital@gmail.com,(970) 824-5964,"Craig",CO,81625
"Cripple Creek Police Dept.",mdox@cripple-creek.co.us,(719) 689-2655,"Cripple Creek",CO,80813
"Dalmatian Rescue of Colorado",beth@dalmatianrescueco.org,970-226-2844,"Fort Collins",CO,80526
"Dancing Dog Rescue and Recovery Ranch, Inc.",dancingdogrescue@earthlink.net,303-882-0837,"Littleton",CO,80128
"DELTA COUNTY HUMANE SOCIETY",deltacountyhumanesociety@gmail.com,(970) 874-2149,"Delta",CO,81416
"Demi's Animal Rescue",info@demisanimalrescue.com,,"Aurora",CO,80016
"Denver Dachshunds Rescue and Transport",ddrt@denverdachshunds.org,(720) 635-0723,"Aurora",CO,80013
"Denver Samoyed Rescue",samoyedrescue@msn.com,303-453-1360,"Lafayette",CO,80026
"Divine Feline",barb@thefelinefix.org,(303) 202-3516,"Denver",CO,80219
"DMK Rehoming",info@dmkrehoming.com,(303) 593-1340,"Littleton",CO,80127
"Do Over Dogs - A Second Chance At Life",dooverdog@hotmail.com,,"Broomfield",CO,80020
"Doberman Rescue of Colorado",info@dobermanrescueco.org,303-888-9614,"Englewood",CO,80110
"Doggy Dog World Rescue",ddwr@doggydogworldrescue.com,720-280-6979,"Littleton",CO,80127
"Dumb Friends League",customercare@ddfl.org,303-751-5772,"Denver",CO,80231
"Duncan's Place, A Cat Sanctuary",duncansplace@yahoo.com,970-214-2233,"Loveland",CO,80537
"Durango Animal Connection",erinnissen@gmail.com,970-749-1968,"Durango",CO,81302
"Eagle County Animal Shelter",rhiannon.rowe@eaglecounty.us,970-382-3647,"Eagle",CO,81631
"Eagle Valley Humane Society",humane@vail.net,970-331-1983 (cats); 970-280-5738 (dogs),"Eagle",CO,81631
"Eaton Animal Den",eatonanimalden@gmail.com,970-454-1700,"Eaton",CO,80615
"Eskie Rescuers United American Eskimo Dog Rescue, Inc.",contact@eskierescuers.org,,"Colorado Springs",CO,80918
"Evergreen Animal Protective League EAPL",eaplevergreen@eapl.com,(303) 674-6442,"Evergreen",CO,80437
"Evergreen Animal Protective League EAPL - Westiminster Location",eaplevergreen@eapl.com,(303) 674-6442,"Westminster",CO,80021
"Farfel's Farm & Rescue",farfelsrescue@gmail.com,(303) 443-7711,"Boulder",CO,80302
"Foothills Animal Shelter",customercare@fas4pets.org,303-278-7575,"Golden",CO,80401
"Forgotten Felines Rescue",nkall@comcast.net,303-532-5521,"Aurora",CO,80014
"Fort Collins Cat Rescue & Spay/Neuter Clinic",adoptacat@fccrsnc.org,970-484-8516,"Fort Collins",CO,80524
"Fort Morgan Humane Society",morganhumane@yahoo.com,970-542-6416,"fort morgan",CO,80701
"Freedom Service Dogs",dneff@freedomservicedogs.org,(303) 922-6213,"Englewood",CO,80110
"Friends of Retired Greyhounds",info@friendsofretiredgreyhounds.org,,"Thornton",CO,80229
"Friends of Todd",rescue@friendsoftodd.org,,"Denver",CO,80211
"German Shepherd Rescue of the Rockies",gsroar@gmail.com,,"Denver",CO,80221
"German Shorthaired Pointer Rescue of New Mexico",depdogwing@yahoo.com,,"Ignacio",CO,81137
"Golden Retriever Freedom Rescue Inc.",staff@goldenretrieverfreedom.org,303-749-8499,"Denver",CO,80209
"Good Sam Animal Rescue",info@home2homepets.org,(303) 222-0081,"Denver",CO,80220
"Grand County Animal Shelter and Animal Control",mkerstiens@hotmail.com,970-887-2988,"Granby",CO,80446
"Great Pyrenees Rescue & Sanctuary",pyrescueco@gmail.com,(719) 749-2340,"Peyton",CO,80831
"Grey Ghost Weimaraner Rescue",woof@greyghostrescue.org,(719) 357-9047,"Monument",CO,80132
"GSP Rescue of Colorado",k.schnobrich57@gmail.com,719 429-1435,"Penrose",CO,81240
"Gunnison Valley Animal Welfare League",info@gvawl.org,970-641-1173,"Gunnison",CO,81230
"Happy Cats Haven",adopt@happycatshaven.org,719-362-4600,"Colorado Springs",CO,80904
"Havok's Wolfpack",havok@havokswolfpack.com,7205044660,"Conifer",CO,80433
"HemoSolutions",kayla.nicole098@yahoo.com,719-380-1900,"Colorado Springs",CO,80910
"HO-BO Care Boxer Rescue",adoptions@hobocare.org,303-744-8329,"Denver",CO,80209
"HomeComings Dog Rescue",homecomingsrescue@gmail.com,,"Lakewood",CO,80226
"Homeward Bound Rescue of Colorado",cindylick@comcast.net,(970) 353-1385,"Greeley",CO,80634
"Hoof & Paw (West End Animal Assist)",hoofandpaw@hotmail.com,(970) 428-7568,"Nucla",CO,81424
"HOPE FOR ANIMALS",clearcreekrescue@yahoo.com,303-890-1806,"Georgetown",CO,80444
"Humane Society of Fremont County Inc.",info@humanesocietyfremontcounty.org,(719) 275-0663,"Canon City",CO,81212
"Humane Society of Pagosa Springs",adoptions@humanesociety.biz,(970) 731-4771,"Pagosa Springs",CO,81147
"Humane Society of the South Platte Valley",info@hsspv.org,303-703-2938,"Littleton",CO,80120
"IGCA affiliate - Colorado",coloradoigrescue@msn.com,,"Centennial",CO,80121
"Intermountain Humane Society",info@imhs.org,(303) 838-2668,"Pine",CO,80433
"Izzy's Place Senior Dog Rescue",izzysplacedogrescue@gmail.com,,"Loveland",CO,80537
"K9 Rescue Referral",andrea@sopris.net,(970) 379-7530,"Carbondale",CO,81623
"La Plata County Humane Society",info@lpchumanesociety.org,(970) 259-2847,"Durango",CO,81301
"Lamar Animal Shelter",lpdshelter@hotmail.com,(719)336-8769 or (719)336-3799,"Lamar",CO,81052
"Larimer Humane Society",humane@larimerhumane.org,970-226-3647,"Fort Collins",CO,80527
"Leadville/Lake County Animal Shelter",leadvilleshelter@gmail.com,(719) 486-8951,"Leadville",CO,80461
"Lisa Parker's Puppies",lppdurango@gmail.com,(970) 769-2584,"Durango",CO,81302
"Logan County Humane Society",info.lchs@gmail.com,(970)-520-2804,"Sterling",CO,80751
"LOLA'S Rescue (Labs and Other Large Angels)",adoptioncoord@lolasrescue.com,303-842-1661,"Littleton",CO,80127
"Loma Cat House",ramstet@gmail.com,970 245-0769,"Grand Junction",CO,81501
"Longmont Humane Society",info@longmonthumane.org,303-772-1232,"Longmont",CO,80501
"lookwhatthecatbroughtin.org",lookcatin@gmail.com,719 331 6852,"Colorado Springs",CO,80904
"Lucky Day Animal Rescue of Colorado",info@luckydayrescue.org,970-379-4606,"Aspen",CO,81612
"Majestic Canine Rescue",info@majesticcaninerescue.org,,"Yoder",CO,80864
"Metro Denver Parrot Rescue",shop@perchpets.com,(303) 495-6983,"Colorado Springs",CO,80905
"Mile High Dachshunds Rescue, Inc",info@milehighdachshundsrescue.org,(303) 941-2624,"Westminster",CO,80035
"Mile High Labrador Retriever Mission",milehighlabmission@gmail.com,,"Broomfield",CO,80020
"Mile High Weimaraner Rescue - Denver",rescueinfo@mhwr.org,,"Brighton",CO,80601
"Misha Siberian Husky Rescue",lisatoy@centurytel.net,970.946.3904,"Pagosa Springs",CO,81147
"Moe Moe's Rescue of the Rockies",moemoesrescue@gmail.com,(303) 877-9582,"Westminster",CO,80035
"Mother Gaia Animal Rescue",xxtrfxx@yahoo.com,,"Lafayette",CO,80026
"Mountain Pet Rescue",mountainpetrescue@gmail.com,970-281-7381,"Winter Park",CO,80482
"My Fairy Dawg Mother Rescue, Inc.",gwin5280@gmail.com,,"Aurora",CO,80011
"National Mill Dog Rescue",adopt@nmdr.org,,"Peyton",CO,80831
"New Hope Rescue Inc.",newhoperescueinc@gmail.com,(719) 748-1277,"Colorado Springs",CO,80907
"Nikenos Second Chances",gina@nscrescue.org,720-514-2543,"Denver",CO,80227
"No Feline Left Behind",adopt.nflb@gmail.com,7202527311,"Denver",CO,80239
"No Hound Unhomed",nohoundunhomed@gmail.com,719-244-2208,"Colorado Springs",CO,80907
"Noah's Ark Animal Welfare Association",christy.naawa@gmail.com,(719) 680-2385,"Trinidad",CO,81082
"Oh Be Dogful Rescue",ohbedogfulrescue@gmail.com,,"Crested Butte",CO,81224
"OutPaws",outpaws@outpaws.org,303-803-2434,"Denver",CO,80210
"Paws And People",striker101960@yahoo.com,970-978-5713,"Greeley",CO,80634
"PawsCo",adopt@pawscoadoptions.org,,"Denver",CO,80205
"Peanut's Place Bully Rescue",peanutsplacerescue@yahoo.com,,"Yoder",CO,80864
