Name,Email,Phone,City,State,Website,Facebook,Type,Notes
"Furever After Rescue",fureverafterrescuega@gmail.com,(478) 714-5638,"Macon",GA,,,Shelter,""
"Furkids Animal Rescue and Shelters",info@furkids.org,(770) 613-0009,"Atlanta",GA,,,Shelter,""
"Georgia Akita Rescue Division",jenna@georgiaakitarescuedivision.org,(404) 435-6882,"Snellville",GA,,,Shelter,""
"Georgia Animal Rescue and Defence Inc.",gardkm@gmail.com,(929) 274-4273,"Pembroke",GA,,,Shelter,""
"Georgia Canine Rescue and Rehabilitation",pittieprotector@yahoo.com,(478) 271-4277,"Cochran",GA,,,Shelter,""
"Georgia Doberman Rescue",contact@georgiadobermanrescue.com,(678) 666-2166,"Athens",GA,,,Shelter,""
"Georgia Heartland Humane Society",petinquiry@georgiaheartlandhumanesociety.org,(770) 830-2820,"Newnan",GA,,,Shelter,""
"Georgia Homeless Pets",adoptions@gahomelesspets.com,(404) 590-2190,"Atlanta",GA,,,Shelter,""
"Georgia Humane Society",smileinnc@aol.com,,"Douglasville",GA,,,Shelter,""
"Georgia Pet T.A.I.L.S. Inc.",contact@georgiapettails.org,(478) 569-7387,"Rydal",GA,,,Shelter,""
"Georgia Poodle Rescue",georgiapoodlerescue@gmail.com,,"Alpharetta",GA,,,Shelter,""
"German Shepherd Dog Rescue Group of Georgia Inc.",info@gashepherd.org,,"Atlanta",GA,,,Shelter,""
"Ginny Millner Rescue Group",jachambers4806@yahoo.com,,"Atlanta",GA,,,Shelter,""
"Glynn County Animal Services",animalservices@glynncounty-ga.gov,(912) 554-7500,"Brunswick",GA,,,Shelter,""
"Golden Isles House Rabbit Rescue",goldenislesrabbits@gmail.com,(912) 289-7761,"Brunswick",GA,,,Shelter,""
"Golden Retriever Rescue of Atlanta",adoptabledogs@grra.com,(678) 310-4772,"Roswell",GA,,,Shelter,""
"Golden Retriever Rescue of Atlanta",info@grra.com,,"Atlanta",GA,https://www.grra.com,,Breed-specific,"Southeast goldens"
"Good Shepherd Animal Refuge, Inc.",arobitshek@gmail.com,(404) 319-3881,"Rome",GA,,,Shelter,""
"Gracie's Place Pet Rescue",graciesplace7@gmail.com,,"Dawsonville",GA,,,Shelter,""
"Granite Country Animal Partners INC",carol@gcanimals.com,(706) 436-4088,"Hartwell",GA,,,Shelter,""
"Great Pyrenees Rescue of Atlanta",info@greatpyratlanta.com,(404) 829-2609,"Atlanta",GA,,,Shelter,""
"GRRR! (Ga. Rescue Rehabilitation & Relocation)",info@g-r-r-r.com,(912) 656-9792,"Savannah",GA,,,Shelter,""
"Gwinnett County Animal Control and Welfare",animalwelfare@gwinnettcounty.com,(770) 339-3200,"Lawrenceville",GA,,,Shelter,""
"Gwinnett Humane Society",contactus@gwinnetthumane.com,(770) 798-7711,"Lawrenceville",GA,,,Shelter,""
"Habersham County Animal Shelter",mhawkins@habershamga.com,(706) 839-0195,"Clarkesville",GA,,,Shelter,""
"HALF THE WAY HOME - WOODSTOCK",dana@halfthewayhome.org,(888) 768-8818,"Woodstock",GA,,,Shelter,""
"Hands for Paws, Inc.",handsforpawsga@gmail.com,,"Cornelia",GA,,,Shelter,""
"Hart Co Humane Society",hartcohumane@yahoo.com,(706) 376-1769,"Hartwell",GA,,,Shelter,""
"Hart Co. Animal Rescue Inc.",hcarapplications@gmail.com,(706) 436-3476,"Hartwell",GA,,,Shelter,""
"Heart of Georgia Humane Society",adopt@heartofgahs.org,(478) 477-9713,"Macon",GA,,,Shelter,""
"Help For The Dogs Inc.",gary@veduccio.net,(401) 261-5334,"Kennesaw",GA,,,Shelter,""
"Helping Paws Rescue",bark@pawtropolis.com,(706) 227-7887,"Bogart",GA,,,Shelter,""
"Henry County Humane Society",info@henryhumane.com,,"McDonough",GA,,,Shelter,""
"Hero Dog Rescue",info@herorescue.org,,"Cumming",GA,,,Shelter,""
"Hickory Level Hound Rescue",hlhrescue@gmail.com,(770) 380-8654,"Carrollton",GA,,,Shelter,""
"Homeless Pets Foundation",homelesspetsfoundation@gmail.com,(770) 971-0100,"Marietta",GA,,,Shelter,""
"Homes 4-ever Rescue Organization",cpowell71208@yahoo.com,(706) 346-5534,"Rockmart",GA,,,Shelter,""
"Homeward Bound Pet Rescue Inc.",homeward@ellijay.com,(706) 698-4663,"Ellijay",GA,,,Shelter,""
"Hootie's Haven Animal Rescue Inc.",hootieshaven@yahoo.com,(423) 567-4668,"Rome",GA,,,Shelter,""
"Hope Eternal Animal Rescue",michelle@hopeeternalanimalrescue.org,,"Cumming",GA,,,Shelter,""
"Hopeful Hearts Inc.",sherrieforbes@mindspring.com,(678) 232-2695,"Rockmart",GA,,,Shelter,""
"Hounds In Pounds, Inc",hipadoptionteam@gmail.com,,"Peachtree City",GA,,,Shelter,""
"Humane Society of Blue Ridge",humanesocietybr@tds.net,(706) 632-4357,"Blue Ridge",GA,,,Shelter,""
"Humane Society of Camden County",hscc@tds.net,(912) 729-7141,"Kingsland",GA,,,Shelter,""
"Humane Society of Forsyth County",shelter@forsythpets.org,(770) 887-6480,"Cumming",GA,,,Shelter,""
"Humane Society of Griffin-Spalding County",griffinhumanesociety@yahoo.com,(770) 229-4925,"Griffin",GA,,,Shelter,""
"Humane Society of Harris County",kgenova@humanesocietyofharriscounty.org,(706) 582-3007,"Hamilton",GA,,,Shelter,""
"Humane Society of Houston County, Inc",general@humanesocietyhoco.org,(478) 599-0211,"Warner Robins",GA,,,Shelter,""
"Humane Society of Jackson County",hsjc1111@gmail.com,(706) 367-1111,"Jefferson",GA,,,Shelter,""
"Humane Society of Morgan County",info@humanemorgan.org,(706) 343-9977,"Madison",GA,,,Shelter,""
"Humane Society of Northeast Georgia",yeseniacruz@hsnega.org,(770) 532-6617,"Gainesville",GA,,,Shelter,""
"Humane Society of NWGA",hsnwgaorg@gmail.com,(706) 226-5002,"Dalton",GA,,,Shelter,""
"Humane Society of Statesboro & Bulloch County",borohumane@gmail.com,(912) 681-9393,"Statesboro",GA,,,Shelter,""
"Humane Society of Terrell County",hstcoinfo@gmail.com,,"Dawson",GA,,,Shelter,""
"Humane Society of Valdosta/Lowndes County",volunteer@humanesocietyofvaldosta.org,(229) 247-3266,"Valdosta",GA,,,Shelter,""
"Humane Society's Mountain Shelter",hsms@pawsga.com,(706) 781-3843,"Blairsville",GA,,,Shelter,""
"Husky Pack Rescue",huskypackrescue@live.com,,"Powder Springs",GA,,,Shelter,""
"IGCA Rescue - Georgia",indigotea@gmail.com,,"Norcross",GA,,,Shelter,""
"IMAGINE Pet Rescue",adopt@imaginepetrescue.org,(904) 571-0455,"Savannah",GA,,,Shelter,""
"IMPS - Internet Miniature Pinscher Service, Inc - AL/GA region",teensiesmom@gmail.com,,"Atlanta",GA,,,Shelter,""
"Inspire Pet Rescue",info@inspirepetrescue.org,(404) 913-3259,"Kennesaw",GA,,,Shelter,""
"Jazzy Paw, Inc.",jazzypawinc@gmail.com,(404) 720-8258,"Lovejoy",GA,,,Shelter,""
"Jennifers Pet Rescue Inc.",jpr@jenniferspetrescue.com,(770) 505-3261,"Dallas",GA,,,Shelter,""
"Joint Venture Rescue",deb923@bellsouth.net,,"Stone Mountain",GA,,,Shelter,""
"Just One Litter Pet Adoptions",iha1278@aol.com,,"Marietta",GA,,,Shelter,""
"K-9 Rescue League, Inc.",siems@bellsouth.net,(770) 714-2880,"Lawrenceville",GA,,,Shelter,""
"K9 Angels ( small dog rescue)",k-9angels@comcast.net,(770) 957-1115,"Stockbridge",GA,,,Shelter,""
"Kindness Matters Ferret Rescue",kmferretrescue@comcast.net,(770) 235-0070,"Acworth",GA,,,Shelter,""
"Kitty City Cat Rescue",kittycitymacon@yahoo.com,(478) 305-7799,"Macon",GA,,,Shelter,""
"Kitty Love Rescue",kittyloverescue@gmail.com,(229) 234-3102,"Valdosta",GA,,,Shelter,""
"Labrador Friends of the South Inc.",labfriendinfo@gmail.com,,"Cumming",GA,,,Shelter,""
"Laskey's Lucky Ones & Volunteers (LLOV)",laskeysluckyones@gmail.com,,"East Point",GA,,,Shelter,""
"Lee County Animal Shelter",dmathis@lee.ga.us,(229) 759-6037,"Leesburg",GA,,,Shelter,""
"Life is Labs Rescue",adoption@i-wag.com,(770) 562-5228,"Temple",GA,,,Shelter,""
"LifeLine Animal Project",adoptions@atlantapets.org,(404) 292-8800,"Atlanta",GA,,,Shelter,""
"Little Nuggets Rescue",info@littlenuggetsrescue.com,(678) 780-2988,"Snellville",GA,,,Shelter,""
"Lucky Day Rescue, Inc.",trendaivey@gmail.com,(678) 858-2614,"Loganville",GA,,,Shelter,""
"Lumpkin County Animal Shelter",friendsoflcsa@gmail.com,(706) 867-7297,"Dahlonega",GA,,,Shelter,""
"Macon Bibb County Animal Welfare",jesmith2@maconbibb.us,(478) 621-6793,"Macon",GA,,,Shelter,""
"Madison Oglethorpe Animal Shelter",info@moaspets.com,(706) 795-2868,"Danielsville",GA,,,Shelter,""
"Maxs Animal Rescue",noonetoloveu@aol.com,(912) 816-3776,"Hoboken",GA,,,Shelter,""
"Meow or Never Inc",meoworneverrescue@gmail.com,,"Atlanta",GA,,,Shelter,""
"Meriwether County Animal Shelter",s.downs@meriwethercountyga.gov,(706) 672-2966,"Greenville",GA,,,Shelter,""
"Metter Animal Shelter",metteranimalshelter@yahoo.com,(912) 685-7877,"Metter",GA,,,Shelter,""
"Mini Aussie Rescue & Support GA",southeastmars@yahoo.com,,"Dacula",GA,,,Shelter,""
"Mostly Mutts",adopt@mostlymutts.org,,"Kennesaw",GA,,,Shelter,""
"Moultrie-Colquitt County Humane Society",moultriehs@yahoo.com,(229) 985-5463,"Moultrie",GA,,,Shelter,""
"Much Ado About Hounds, Inc.",muchadohounds@hotmail.com,(770) 778-3405,"Stone Mountain",GA,,,Shelter,""
"Murray County Animal Shelter-Control Unit",jwynn@murraycountyga.gov,(706) 695-8003,"Chatsworth",GA,,,Shelter,""
"MUSH Rescue, Inc.",adopt@mushrescue.com,,"Alpharetta",GA,,,Shelter,""
"Mutt Maddness",barbara@muttmaddness.org,(404) 406-6322,"Marietta",GA,,,Shelter,""
"National Detector Dog Training Center",kenneth.d.gaines@aphis.usda.gov,(877) 797-3899,"Newnan",GA,,,Shelter,""
"New Rattitude - national Rat Terrier rescue",inquiry@newrattitude.org,,"Atlanta",GA,,,Shelter,""
"Newnan Coweta Humane Society",nchs@nchsrescue.org,,"Newnan",GA,,,Shelter,""
"North Georgia Animal Alliance, Inc.",ngaa.animals@gmail.com,(706) 937-2287,"Ringgold",GA,,,Shelter,""
"Oakhurst Guinea Pig Rescue",thomas.pederson@ogpr.org,,"Decatur",GA,,,Shelter,""
"Oconee Regional Humane Society",orhspets@gmail.com,(706) 454-1508,"Greensboro",GA,,,Shelter,""
"Okefenokee Humane Society Inc.",okefenokeehumanesociety@gmail.com,(912) 283-4214,"Waycross",GA,,,Shelter,""
"Old English Sheepdog Rescue Network of the SE",placement@oesrescuenetwork.org,,"Sugar Hill",GA,,,Shelter,""
"One Love Animal Rescue, Inc",info@oneloveanimalrescue.com,,"Savannah",GA,,,Shelter,""
"Orphan Annie Rescue",orphanannierescue@gmail.com,,"Atlanta",GA,,,Shelter,""
"Out of the Box Boxer Rescue",info.obbrescue@gmail.com,(470) 242-5886,"Loganville",GA,,,Shelter,""
"Papayago Rescue House, Inc.",maria.sullivan@papayagorescuehouse.org,(678) 346-5217,"Kennesaw",GA,,,Shelter,""
"Paulding County Animal Control",kshipman@paulding.gov,(678) 383-3481,"Dallas",GA,,,Shelter,""
"Paw Pals",cherylmcgriff@yahoo.com,,"Lawrenceville",GA,,,Shelter,""
"Paws and Whiskers",cariboukitty68@aol.com,(404) 229-0518,"Atlanta",GA,,,Shelter,""
"PAWS Atlanta",lmckelvey@pawsatlanta.org,(770) 593-1155,"Decatur",GA,,,Shelter,""
"Paws for a Moment",angiekittle.pawsforamoment@gmail.com,,"Tunnel Hill",GA,,,Shelter,""
"Paws for Soldiers, Inc.",joelharber@yahoo.com,(706) 351-1063,"Athens",GA,,,Shelter,""
"PAWS Humane",adoptions@pawshumane.org,(706) 565-0035,"Columbus",GA,,,Shelter,""
"Peach County Animal Rescue",peachcountyanimalrescue@gmail.com,,"Fort Valley",GA,,,Shelter,""
"PeachState Pet Partners,inc.",pspp08@hemc.net,(706) 776-3112,"Alpharetta",GA,,,Shelter,""
"Pickens Animal Rescue Inc",parinfo@pickensanimalrescue.org,(706) 692-2772,"Jasper",GA,,,Shelter,""
"Planned PEThood of Georgia",adoptions@pethoodga.org,(678) 561-3491,"Duluth",GA,,,Shelter,""
"Polk County Animal Control",pspp_inc@yahoo.com,(678) 361-7304,"Cedartown",GA,,,Shelter,""
"Pound Puppies 'N Kittens Incorporated",info@ppnk.org,(770) 464-3393,"Social Circle",GA,,,Shelter,""
"Praying For Paws Inc",carolkelly0000@aol.com,(404) 202-4208,"McDonough",GA,,,Shelter,""
"Pregnant Dog Rescue, Inc.",info@pregnantdogrescue.org,,"Griffin",GA,,,Shelter,""
"Priceless Pets Atlanta",pricelesspets4u@gmail.com,(770) 351-7377,"Atlanta",GA,,,Shelter,""
"Pup & Cat Co.",pupandcatco@windstream.net,(770) 867-1622,"Winder",GA,,,Shelter,""
"Puppy Love Mission",puppylovemission@yahoo.com,,"Loganville",GA,,,Shelter,""
"Rabun Paws 4 Life, Inc.",jmarcellino@rabunpaws4life.com,(706) 782-5422,"Clayton",GA,,,Shelter,""
"Refuge Rescue, Inc.",adoptions@refugerescue.org,,"Woodstock",GA,,,Shelter,""
"Releash Atlanta",petfinder@releashatlanta.com,,"Atlanta",GA,,,Shelter,""
"Releashed Rescue",releashedrescue@gmail.com,,"Cumming",GA,,,Shelter,""
"Remembering Stephanie LLC",rescuebruce@gmail.com,(770) 234-9733,"Atlanta",GA,,,Shelter,""
"Renegade Rescue",renegaderescuega@gmail.com,(678) 234-3710,"Kennesaw",GA,,,Shelter,""
"Rescue Angels of GA",onecatandadog@yahoo.com,(404) 246-4768,"Atlanta",GA,,,Shelter,""
"Rescue Me Ga Inc",adrienne@rescuemega.org,,"Dunwoody",GA,,,Shelter,""
"RescueCats, Inc.",rescuecats@hotmail.com,(678) 817-9647,"Fayetteville",GA,,,Shelter,""
"Rincon's Unwanted Furry Friends (RUFF)",deyoj417@yahoo.com,,"Rincon",GA,,,Shelter,""
"Rotts 'n Pups Rescue",rottsnpupsrescue@fastmail.fm,,"Douglasville",GA,,,Shelter,""
"Rottstars Rescue",dogplayland@yahoo.com,,"Buford",GA,,,Shelter,""
"Royal Animal Refuge",rlinfo@bellsouth.net,,"Tyrone",GA,,,Shelter,""
"Royal Potcake Rescue USA Inc.",potcake_rescue@bellsouth.net,,"Atlanta",GA,,,Shelter,""
"Ruff Dog Rescue",ruffrescueinquiries@gmail.com,,"Milton",GA,,,Shelter,""
"Ruff Redemption Rescue, Inc.",adoptions@ruffredemption.org,,"Woodstock",GA,,,Shelter,""
"Ruffus Rescue",harriett.patterson@att.net,,"Atlanta",GA,,,Shelter,""
"Ryan's New Life Animal Rescue",ryansnewliferescue@gmail.com,,"Loganville",GA,,,Shelter,""
"Sally Wetherbee Adoption Center",director@swacalbany.org,(229) 299-4504,"Albany",GA,,,Shelter,""
"Save A Pet Inc",saveapetincweb@gmail.com,(478) 994-3882,"Forsyth",GA,,,Shelter,""
"Save The Horses",info@savethehorses.org,(770) 886-5419,"Cumming",GA,,,Shelter,""
"Save-A-Life",jghick@bellsouth.net,(912) 598-7729,"Savannah",GA,,,Shelter,""
"Saved By Grace Pet Adoption Services Inc",vetmed@bellsouth.net,(770) 787-4899,"Covington",GA,,,Shelter,""
"Saving Georgia Dogs Rescue",info@savinggeorgiadogs.org,,"Barnesville",GA,,,Shelter,""
"Second Chance Animal Rescue",scar.rescue@gmail.com,(229) 397-7387,"Cairo",GA,,,Shelter,""
"Second Chance Greyhounds",chair@secondchancegreyhounds.org,,"Douglasville",GA,,,Shelter,""
"Second Hand Siamese",siameserescuega@aol.com,(678) 343-0068,"Oakwood",GA,,,Shelter,""
"Shelter Dogs For Veterans, Inc.",shelterdogsforveterans@gmail.com,(706) 299-8854,"Talking Rock",GA,,,Shelter,""
"SNAP 2 IT",adoptions@snap2it.org,(404) 957-6914,"Atlanta",GA,,,Shelter,""
"Society of Humane Friends of GA Inc.",sohfga@gmail.com,,"Lawrenceville",GA,,,Shelter,""
"SOS Labrador Retriever Rescue, Inc",info@soslabrescue.org,(404) 557-2911,"Good Hope",GA,,,Shelter,""
"Southern Animal Rescue",southernanimalrescue@gmail.com,,"Atlanta",GA,,,Shelter,""
"Southern Animal Volunteer Effort",info@savecares.com,,"Decatur",GA,,,Shelter,""
"Southern Comfort Animal Rescue Services Inc",socorescue@yahoo.com,(912) 423-0145,"Glenwood",GA,,,Shelter,""
"Southern Crescent Canine Rescue",sccrescue@hotmail.com,(770) 468-7014,"Milner",GA,,,Shelter,""
"Southern Souls Rescue",southernsouls@aol.com,(706) 556-9009,"Harlem",GA,,,Shelter,""
"Special Touch Animal Rescue",starradopt@aol.com,(404) 983-3581,"Acworth",GA,,,Shelter,""
"Stephens Community Canine Rescue, INC",myrescue@stephensrescue.org,(706) 759-3632,"Stephens",GA,,,Shelter,""
"Street Paws, Inc.",info@streetpaws.org,,"McDonough",GA,,,Shelter,""
"Tabby Tales Rescue",meow@tabbytalesrescue.org,,"Savannah",GA,,,Shelter,""
"TenderHeart & Great Pyr Rescue",tenderheartrescue@gmail.com,(678) 378-2803,"Newnan",GA,,,Shelter,""
"The Bullpen Way Station and Sanctuary",info@bullpenrescue.org,,"Norwood",GA,,,Shelter,""
"The Georgia Rat Rescue",garatrescue@gmail.com,,"Norcross",GA,,,Shelter,""
"The Humane Society of South Coastal Georgia",staci@hsscg.org,(912) 264-6246,"Brunswick",GA,,,Shelter,""
"Thomasville-Thomas County Humane Society",pets@rose.net,(229) 228-0613,"Thomasville",GA,,,Shelter,""
"TLC Pet Rescue",tlcpetrescue@gmail.com,,"Stockbridge",GA,,,Shelter,""
"Toccoa-Stephens County Humane Shelter",info@tschs.org,(706) 282-3275,"Toccoa",GA,,,Shelter,""
"Two Tailz Rescue",info@twotailzrescue.org,,"Roswell",GA,,,Shelter,""
"U. S. Canine",angiewoods@uscanine.com,(770) 682-5434,"Buford",GA,,,Shelter,""
"WAGS Rescue",wandgrescue@gmail.com,,"Jesup",GA,,,Shelter,""
"Walton Animal Guild Inc.",wagadoption@yahoo.com,,"Monroe",GA,,,Shelter,""
"Walton County Animal Control",wcanimal@co.walton.ga.us,(770) 267-1322,"Monroe",GA,,,Shelter,""
"Warner Robins Animal Control",glangston@wrga.gov,(478) 929-7290,"Warner Robins",GA,,,Shelter,""
"Washington Wilkes Humane Animal Shelter",wwhumaneshelter@gmail.com,(706) 678-2287,"Washington",GA,,,Shelter,""
"We Are Rescue",butlerkristen@yahoo.com,(770) 846-2011,"Woodstock",GA,,,Shelter,""
"Whiskers Project",info@whiskersproject.org,(888) 872-9330,"Blairsville",GA,,,Shelter,""
"Wholly Cats",whollycats1@yahoo.com,(706) 835-1828,"Blairsville",GA,,,Shelter,""
"Winging Cat Rescue",lowe.barbara@gmail.com,(631) 261-4321,"Griffin",GA,,,Shelter,""
"You Lucky Dog Rescue",info@youluckydogrescue.org,,"Alpharetta",GA,,,Shelter,""
"Your New Best Friend Pet Rescue",yournewbestfriendpetrescue@yahoo.com,,"Powder Springs",GA,,,Shelter,""
"German Shepherd Rescue of New England",info@gsrne.org,,"",HT,Breed-specific,,Northeast GSDs,""
"Greyhound Pets of America",info@greyhoundpets.org,,"",HT,Breed-specific,,National greyhound rescue,""
"Pit Bull Rescue Central",info@pbrc.net,,"",HT,Breed-specific,,National pit bull network,""
"A Home for EveryBunny",ahomeforeverybunny@outlook.com,,"Ankeny",IA,,,Shelter,""
"Agape Fosters",alterupet@aol.com,,"Reinbeck",IA,,,Shelter,""
"AHeinz57 Pet Rescue & Transport, Inc.",adopt@aheinz57.com,(515) 834-3016,"Adel",IA,,,Shelter,""
"Ames Animal Shelter",animalsinames@cityofames.org,(515) 239-5530,"Ames",IA,,,Shelter,""
"Animal Lifeline of Iowa Inc.",director@animallifelineia.org,(515) 285-7387,"Des Moines",IA,,,Shelter,""
"Animal Protection League",firstmed1@aol.com,(319) 524-5137,"Burlington",IA,,,Shelter,""
"Animal Rescue League",frontdesk@arlmarshalltown.com,(641) 753-9046,"Marshalltown",IA,,,Shelter,""
"Animal Rescue League of Iowa Inc.",social@arl-iowa.org,,"Des Moines",IA,,,Shelter,""
"Animal Rescue of Carroll",animalrescueofcarroll@yahoo.com,(712) 790-9116,"Carroll",IA,,,Shelter,""
"Animal Welfare Friends",wesavepets@netins.net,(319) 975-8283,"Monticello",IA,,,Shelter,""
"Blue Ridge Rescue",blueridgeacres@msn.com,(563) 949-0245,"Blue Grass",IA,,,Shelter,""
"Boone Area Humane Society",adopt.bahs@gmail.com,(515) 432-6112,"Boone",IA,,,Shelter,""
"Broderick Animal Clinic",broderickanimalclinic@gmail.com,(515) 987-1447,"Waukee",IA,,,Shelter,""
"Calhoun Co. Canine Shelter",sschossow@calhouncountyiowa.com,,"Rockwell City",IA,,,Shelter,""
"Catnip and Tails Rescue, Inc.",tainsworth5@hotmail.com,(712) 314-7669,"Council Bluffs",IA,,,Shelter,""
"Cedar Bend Humane Society",cbhsadoption@mchsi.com,(319) 232-6887,"Waterloo",IA,,,Shelter,""
"Cedar Creek Sanctuary",mtstlc@iowatelecom.net,(712) 288-6218,"Fonda",IA,,,Shelter,""
"Cedar Valley Pit Bull Rescue",cvpbradoption@gmail.com,,"Waterloo",IA,,,Shelter,""
"Creston Animal Rescue Effort/Creston City Pound",mdowney@iowatelecom.net,(641) 782-2330,"Creston",IA,,,Shelter,""
"Denison City Pound",jjdreyer@mchsi.com,(712) 263-8393,"Denison",IA,,,Shelter,""
"Des Moines County Humane Society",dmchumane@yahoo.com,(319) 753-8389,"Burlington",IA,,,Shelter,""
"Diamond in the Ruff Rescue",diamondintheruffrescue@hotmail.com,(641) 844-3370,"State Center",IA,,,Shelter,""
"Dog Gone Rescue, Inc.",janel@doggonerescue.com,,"Creston",IA,,,Shelter,""
"Dogs Forever of Iowa",info@dogsforever.org,,"Cedar Rapids",IA,,,Shelter,""
"Emmet County Animal Shelter",emmetcountyanimalshelter@live.com,(712) 209-1288,"Estherville",IA,,,Shelter,""
"FluffyButts Rescue Resort",fluffybutts4u@yahoo.com,,"Des Moines",IA,,,Shelter,""
"Forever Home Dog Rescue",adopt@foreverhomedogs.org,(515) 270-2915,"Johnston",IA,,,Shelter,""
"Friends of the Animals",friendsoa@yahoo.com,(563) 886-2361,"Tipton",IA,,,Shelter,""
"Fur Fun Rescue",rox@furfunrescue.org,(319) 929-6657,"Lisbon",IA,,,Shelter,""
"Furry Friends Refuge",adoptions@furryfriendsrefuge.org,(515) 222-0009,"Clive",IA,,,Shelter,""
"Gems Forever Animal Rescue Inc",info@gemsforever.org,(319) 775-0470,"Cedar Rapids",IA,,,Shelter,""
"Great Pyrenees Rescue of Iowa, Inc.",rescue@iowafortunefarm.com,(319) 446-6050,"Atkins",IA,,,Shelter,""
"Greenbelt Humane Society",greenbelthumane@hotmail.com,(515) 859-7770,"Alden",IA,,,Shelter,""
"H.E.A.R.T.",ameow2002@yahoo.com,(641) 939-2620,"Eldora",IA,,,Shelter,""
"Hamilton County Animal Advocates",hamiltoncountyanimaladvocates@gmail.com,,"Stratford",IA,,,Shelter,""
"Happy Tales Ranch and Rescue",happytalesiowa@gmail.com,(712) 249-3203,"Colfax",IA,,,Shelter,""
"Heartland Greyhound Adoption",adopt@heartlandgreyhoundadoption.org,,"Bondurant",IA,,,Shelter,""
"Heartland Pet Hospital",hph@iowatelecom.net,(515) 733-2218,"Story City",IA,,,Shelter,""
"Heavenly Pet Sanctuary",friends@heavenlypet.org,(641) 919-1289,"Fairfield",IA,,,Shelter,""
"Homeward Bownd Siberian Husky Rescue",homewardbownd@gmail.com,(563) 223-8148,"La Motte",IA,,,Shelter,""
"Hope Animal Rescue",harofiowa@gmail.com,,"Clive",IA,,,Shelter,""
"Humane Society of North Iowa",hsni@hsni.org,(641) 423-6241,"Mason City",IA,,,Shelter,""
"Humane Society of Northeast Iowa",hsneiowa@gmail.com,(563) 382-0500,"Decorah",IA,,,Shelter,""
"Humane Society of Perry",humanesocietyofperry@gmail.com,(515) 418-8059,"Perry",IA,,,Shelter,""
"Humane Society of Wright County",marcia_b@hotmail.com,(515) 571-3129,"Goldfield",IA,,,Shelter,""
"Iowa Equine Rescue & Awareness League",ieraladoption@gmail.com,,"Cedar Rapids",IA,,,Shelter,""
"Iowa Weimaraner Rescue",director@iowaweimrescue.org,,"Decorah",IA,,,Shelter,""
"Jackson County Humane Society",jchs.ia.office@gmail.com,(563) 652-5360,"Maquoketa",IA,,,Shelter,""
"Keokuk Animal Services",kas15keokuk@gmail.com,(319) 526-5421,"Keokuk",IA,,,Shelter,""
"Keokuk Humane Society",keokukhumanesociety@yahoo.com,(319) 524-3816,"Keokuk",IA,,,Shelter,""
"King's Harvest Pet Rescue No Kill Shelter",kingsharvestpetrescue@gmail.com,(563) 386-3117,"Davenport",IA,,,Shelter,""
"Lake Animal Hospital / Shelter",lahadoptions@gmail.com,(712) 899-4853,"Storm Lake",IA,,,Shelter,""
"Last Hope Animal Rescue, Inc.",adoptions@adopthope.org,,"Cedar Rapids",IA,,,Shelter,""
"Loving Arms Animal Rescue",lovingarmsanimalrescue@yahoo.com,(319) 444-3495,"Belle Plaine",IA,,,Shelter,""
"Marion County Humane Society",marioncountyhumane@gmail.com,(641) 828-7387,"Knoxville",IA,,,Shelter,""
"Midiowaboxerrescue",midiowaboxerrescue@gmail.com,,"Des Moines",IA,,,Shelter,""
"Midlands Humane Society",info@midlandshumanesociety.org,(712) 396-2270,"Council Bluffs",IA,,,Shelter,""
"Midwest Dog Rescue Network",midwestdogrescuenetwork@gmail.com,,"Council Bluffs",IA,,,Shelter,""
"Midwest Pets For Life",midwestpetsforlife@gmail.com,(563) 503-8153,"Clinton",IA,,,Shelter,""
"Montgomery Co Animal Rescue",adoptourdogs@gmail.com,(712) 370-0336,"Red Oak",IA,,,Shelter,""
"Muddy Paws Second Chance Rescue, Inc",muddypaws2chancerescue@yahoo.com,,"Council Bluffs",IA,,,Shelter,""
"Muscatine Humane Society",humanesoc@machlink.com,(563) 263-7358,"Muscatine",IA,,,Shelter,""
"Noah's Ark Animal Foundation",director@noahsark.org,(641) 472-6080,"Fairfield",IA,,,Shelter,""
"Noah's Hope Animal Rescue",info@noahshopeanimalrescue.com,(712) 253-8394,"Sioux City",IA,,,Shelter,""
"Otter Creek Animal Shelter",jesupvet@jtt.net,(319) 827-2773,"Hazleton",IA,,,Shelter,""
"Panora P.E.T.S.",panora_pets@yahoo.com,,"Panora",IA,,,Shelter,""
"Patriots for Pets Rescue and Shelter Inc.",patriotsforpets@yahoo.com,(641) 357-8050,"Clear Lake",IA,,,Shelter,""
"PAWS & More Animal Shelter",washingtonpawsandmore1978@gmail.com,(319) 653-6713,"Washington",IA,,,Shelter,""
"PAWS Humane Society",petfinder@pawsonline.org,(641) 257-0766,"Charles City",IA,,,Shelter,""
"PAWS of Greene County, Iowa",pawsofgreenecounty@hotmail.com,(515) 386-9814,"Jefferson",IA,,,Shelter,""
"Paws-N-Claws Rescue and Rehab",pawsnclawsrescueiowa@gmail.com,,"Farson",IA,,,Shelter,""
"People for Paws",s.hoefing@mchsi.com,(712) 246-3236,"Shenandoah",IA,,,Shelter,""
"People For Pets",djerickson1@hotmail.com,(712) 580-2738,"Spencer",IA,,,Shelter,""
"Poweshiek Animal League Shelter (PALS)",palspetsia@gmail.com,(641) 236-4288,"Grinnell",IA,,,Shelter,""
